"source","target","correlation"
"6","45",0.970699176630619
"9","45",0.962465314968222
"13","30",0.96027239792125
"14","76",0.959277724728821
"15","45",0.978627836250929
"18","69",0.950557126339743
"25","43",0.965102289562848
"29","63",0.966715009021438
"30","58",0.962045044509909
"34","17",0.964516904616983
"34","19",0.961686649544923
"34","30",0.960493543527519
"34","44",0.968048592513575
"39","41",0.972218323483928
"41","16",0.979270723786975
"60","32",0.982496803481047
"60","61",0.969157116457524
"60","65",0.956445517676926
"63","86",0.984198903515815
"65","43",0.97285897482722
"68","27",0.978152503052936
"68","30",0.960480620033368
"95","78",-0.955609956693188
