"source","target","correlation"
"comp100000_c0_seq4","comp100521_c4_seq19",0.963469878713801
"comp100000_c0_seq4","comp62144_c0_seq1",0.950552934548855
"comp100002_c0_seq5","comp1697826_c0_seq1",0.96899796671612
"comp100002_c0_seq5","comp70478_c0_seq2",0.951156256947322
"comp100002_c0_seq5","comp741187_c0_seq1",0.962993268201282
"comp100002_c0_seq5","comp94810_c1_seq6",0.962213429887762
"comp100004_c0_seq6","comp19300_c0_seq1",0.969177579557614
"comp100004_c0_seq6","comp77333_c0_seq1",0.957759257526873
"comp100008_c0_seq5","comp100978_c0_seq8",0.958443813539299
"comp100008_c0_seq5","comp23393_c0_seq1",0.955492229871604
"comp100008_c0_seq5","comp318409_c0_seq1",0.983679301972799
"comp100008_c0_seq5","comp34262_c0_seq1",0.963626449126251
"comp100008_c0_seq5","comp95195_c0_seq1",0.955860472004007
"comp100008_c0_seq5","comp97806_c0_seq4",0.953390316641708
"comp100009_c0_seq4","comp73196_c0_seq3",0.951992152418265
"comp100009_c0_seq4","comp85609_c0_seq1",0.984379469910739
"comp100009_c0_seq4","comp87595_c0_seq1",0.955979955803646
"comp100009_c0_seq4","comp92900_c0_seq1",0.972994501553217
"comp100009_c0_seq4","comp95164_c0_seq1",0.971290937571961
"comp100009_c0_seq4","comp95629_c0_seq6",0.967874019145529
"comp100014_c0_seq3","comp101199_c0_seq14",0.973171688227901
"comp100014_c0_seq3","comp65130_c0_seq1",0.968177309496677
"comp100024_c0_seq7","comp100925_c0_seq3",0.957394267706057
"comp100037_c0_seq1","comp102725_c0_seq14",0.96390257493911
"comp100037_c0_seq1","comp1646816_c0_seq1",0.961453346517187
"comp100037_c0_seq1","comp2009383_c0_seq1",0.982095478756935
"comp100037_c0_seq1","comp3598721_c0_seq1",0.956402782534454
"comp100037_c0_seq1","comp67486_c0_seq1",0.956588366270369
"comp100037_c0_seq1","comp70841_c0_seq1",0.957648445764169
"comp100037_c1_seq13","comp20711_c0_seq1",0.955259104316339
"comp100037_c1_seq13","comp848792_c0_seq1",0.972133503217315
"comp100037_c1_seq13","comp9251_c0_seq1",0.960853889357099
"comp100039_c0_seq1","comp65394_c0_seq1",0.966043968267755
"comp100039_c0_seq1","comp97703_c0_seq11",0.957526832118035
"comp100039_c0_seq1","comp97859_c1_seq3",0.980841744733525
"comp100041_c0_seq5","comp99701_c0_seq1",0.968070153166624
"comp100044_c0_seq3","comp100497_c1_seq3",0.952104921825589
"comp100047_c2_seq5","comp65394_c0_seq1",0.967758402130733
"comp100047_c2_seq5","comp97703_c0_seq11",0.967945306640116
"comp100048_c0_seq4","comp55573_c0_seq1",0.952240385393658
"comp100048_c0_seq8","comp102132_c0_seq5",0.958928619588183
"comp100048_c0_seq8","comp64004_c0_seq1",0.959840809903931
"comp100048_c0_seq8","comp65574_c0_seq1",0.950652680443997
"comp100048_c0_seq8","comp69072_c0_seq1",0.978782292972543
"comp100048_c0_seq8","comp78201_c0_seq1",0.961649197443125
"comp100049_c0_seq10","comp1229926_c0_seq1",0.962374723096532
"comp100049_c0_seq10","comp82600_c0_seq1",0.965643261881545
"comp100049_c0_seq5","comp100247_c1_seq4",0.950191226409349
"comp100049_c0_seq5","comp1399580_c0_seq1",0.960414013842837
"comp100049_c0_seq5","comp448503_c0_seq1",0.960003253257698
"comp100049_c0_seq5","comp79652_c0_seq1",0.968941619927987
"comp100049_c0_seq5","comp91664_c0_seq1",0.964135490635231
"comp100049_c0_seq5","comp96630_c0_seq1",0.979645293836944
"comp100059_c1_seq5","comp93142_c0_seq1",0.963403097049673
"comp100066_c0_seq1","comp33010_c0_seq1",0.954821017867135
"comp100066_c0_seq1","comp86313_c0_seq1",0.962171874286507
"comp100066_c0_seq1","comp89625_c0_seq2",0.974924912818831
"comp100069_c1_seq16","comp100906_c0_seq1",0.970754505974359
"comp100069_c1_seq16","comp26244_c0_seq1",0.980114157703285
"comp100069_c1_seq16","comp35361_c0_seq1",0.954093831808581
"comp100069_c1_seq16","comp64299_c0_seq1",0.964339572197795
"comp100069_c1_seq16","comp78627_c0_seq1",0.962360627486936
"comp100069_c1_seq16","comp847915_c0_seq1",0.95381858350266
"comp100069_c1_seq16","comp90886_c0_seq3",0.954571124493659
"comp100069_c1_seq16","comp96790_c0_seq1",0.970457649252079
"comp100070_c0_seq23","comp82600_c0_seq1",0.960440870530316
"comp100070_c0_seq23","comp99701_c0_seq1",0.976006594573026
"comp100071_c0_seq1","comp101626_c0_seq2",0.951476986259294
"comp100071_c0_seq1","comp102370_c0_seq11",0.956361965681354
"comp100071_c0_seq1","comp79165_c0_seq1",0.955943085887324
