"source","target","correlation"
"2","22",0.976711588314434
"2","59",0.961035119281278
"4","73",0.982374080088716
"7","14",0.951110755270282
"7","25",0.985810191948631
"8","73",0.972395879106898
"9","2",0.957348349173948
"9","26",0.974816719572985
"15","73",0.950657271812295
"26","73",0.977102846526121
"26","75",0.988346666433669
"30","24",0.993284787856112
"38","73",0.95923029543475
"38","75",0.971914506330455
"39","73",0.955685762325363
"39","75",0.95567512311361
"45","66",0.983786789477035
"45","91",0.965832998376116
"48","40",0.97296430476946
"48","89",0.97133770429555
"53","51",0.952562512749216
"60","59",0.956245329348971
"68","30",0.987637508148369
"73","30",0.977907574005291
"37","82",-0.971803311644849
