"source","target","correlation"
"1","32",0.955805694409254
"1","61",0.959670639643833
"2","32",0.993220214900371
"2","61",0.955944525744081
"2","69",0.981360613236245
"5","45",0.950918272440021
"8","26",0.972501941287744
"10","45",0.956491283895425
"13","44",0.953027530383224
"15","45",0.958114641120296
"15","65",0.959264111680731
"15","71",0.966439406367717
"18","13",0.994059376553813
"22","64",0.992681307409348
"26","32",0.965424491155975
"26","69",0.976741002742915
"27","32",0.989569392998207
"27","61",0.955851171791962
"27","69",0.985444607243847
"30","92",0.960362822264763
"32","58",0.960333185691802
"37","14",0.953994848270964
"38","32",0.962974042270422
"38","61",0.977552957426045
"40","88",0.951930376220695
"42","32",0.981898286248368
"42","61",0.967121518838231
"42","69",0.964655125957666
"55","67",0.982046663327587
"56","32",0.957180270003339
"56","69",0.972823261701009
"58","20",0.964255716143991
"58","91",0.981992126545327
"61","58",0.975305594156322
"62","44",0.971909354391767
"64","26",0.975510869691216
"64","52",0.983663550377925
"70","4",0.951346410910903
"72","22",0.98518012394883
"72","89",0.952570360251126
"73","47",0.959475555589778
"75","13",0.951853762470177
"83","15",0.964784606405153
"85","60",0.982025725444039
"90","8",0.964192619519862
"90","37",0.950933831303046
"1","48",-0.951307080117745
"5","48",-0.963497008519618
"10","48",-0.96571875427866
"15","48",-0.950754486533164
"20","35",-0.953110891530242
"20","48",-0.967316639693818
"35","92",-0.972645565312316
"38","40",-0.951995075308301
"38","48",-0.979853575707975
"40","29",-0.969594064652235
"46","65",-0.967562055658698
"48","92",-0.952609790298723
"54","76",-0.951458792653348
"71","13",-0.952801907213976
"92","50",-0.957327092392942
