"source","target","correlation"
"1","53",0.954845078414472
"1","60",0.963049233129799
"3","17",0.951149221982777
"3","78",0.974741157815314
"3","92",0.970339095944438
"4","53",0.974816035160998
"4","60",0.982229843362853
"4","63",0.96291335695571
"5","40",0.969170289501768
"7","53",0.967786106192928
"7","60",0.977961137290727
"7","63",0.969709410641562
"9","53",0.993378268608274
"9","60",0.997465013063872
"15","40",0.982995561281151
"16","53",0.968099724760876
"16","60",0.966902904294528
"17","52",0.960717901502827
"18","53",0.959977963631795
"18","60",0.955440317694884
"18","95",0.982982058894386
"24","53",0.992957028813916
"24","60",0.992707785034526
"25","57",0.975109806923675
"29","80",0.997788066570811
"32","34",0.956194318144192
"32","68",0.958520846795032
"33","40",0.973911806983082
"33","60",0.958869969920253
"35","3",0.96134519442606
"36","60",0.953369329515522
"36","95",0.953128975714993
"43","95",0.97060585475346
"44","95",0.959454954645214
"48","40",0.976459886196992
"48","60",0.950980631860938
"49","95",0.984142361620637
"51","10",0.982213130800767
"51","80",0.954589162686319
"51","85",0.963958644878287
"54","47",0.972197047587322
"55","60",0.964594802431239
"55","67",0.9617666347849
"58","40",0.986719182300541
"60","90",0.994849063526422
"68","40",0.971963129640286
"69","63",0.981563394530188
"71","14",0.972766237487654
"73","80",0.994099329344489
"73","85",0.951154761891759
"74","53",0.996402721774943
"74","60",0.999579890015517
"75","40",0.963824532563778
"76","90",0.992989642616953
"78","29",0.992900138490809
"78","73",0.98816482279298
"78","86",0.983577581118288
"80","78",0.997761882419162
"80","92",0.996746974189859
"82","29",0.997643086451329
"82","73",0.997747218903618
"82","86",0.994473323203654
"89","78",0.996508456160449
"89","92",0.994690100979906
"90","2",0.95606413094509
"90","4",0.991693261559065
"90","7",0.99633384515408
"90","9",0.973578992198328
"90","26",0.976735731995751
"90","77",0.992680083210654
"90","91",0.992380553409347
"93","65",0.975886489368266
"94","80",0.963816393327445
"95","90",0.996795749384218
"1","41",-0.964233462512536
"23","37",-0.96980558237108
"30","52",-0.962346623536219
"32","20",-0.969310936302355
"44","23",-0.957189054149142
"50","39",-0.966722819566392
"56","39",-0.964451758756314
"64","47",-0.970046010182343
"67","39",-0.95527074540364
