"source","target","correlation"
"8","38",0.950722873275555
"16","19",0.973248683841053
"17","45",0.955762805673146
"18","15",0.958835417149834
"19","31",0.974496897547543
"19","52",0.974413189488412
"19","84",0.950289456450632
"20","61",0.963423401423728
"26","8",0.95120655004892
"26","78",0.990771440681495
"26","93",0.992916338381989
"30","86",0.955962518772383
"40","7",0.980077712010246
"40","20",0.959080241589545
"40","49",0.968940784100075
"40","50",0.96890276115543
"43","19",0.971507852584818
"45","19",0.951288416638708
"47","2",0.954209217303553
"48","22",0.97583747312992
"48","47",0.965160126571331
"49","86",0.959613757231822
"55","86",0.971041480081519
"57","1",0.956785492420653
"61","19",0.962832880337891
"65","53",0.97779197421624
"66","2",0.954424626116337
"71","45",0.963783296255599
"71","86",0.976221197660012
"75","83",0.955539691027305
"79","26",0.998123960757585
"87","78",0.950650889548238
"94","8",0.985071201638703
"94","78",0.996946625453284
"94","93",0.993524671310519
"95","6",0.984664751343736
"95","17",0.951605802075695
"95","30",0.983890260398333
"95","54",0.970787773378676
"95","72",0.976200213847156
"95","91",0.979302170719481
"20","58",-0.952541226397168
"20","59",-0.994916044992563
"21","13",-0.982794120905668
"28","60",-0.9865587240602
"38","13",-0.982793084427645
"40","37",-0.959143222048533
"59","19",-0.95116900701615
"77","63",-0.971830852918184
"84","46",-0.952080651680061
"89","46",-0.960281155029189
"95","32",-0.992841948592365
