"sample","CT6.2","CT6.3","CT6.4","CT6.5","CT9.1","CT9.3","CT9.4","CT9.6","CT12.1","CT12.2","CT12.4","CT12.5","CT15.1","CT15.3","CT15.4","CT15.5","CT18.1","CT18.2","CT18.5","CT21.2","CT21.4","CT21.5","CT21.6","CT24.2","CT24.3","CT24.4","CT24.6","CT27.1","CT27.2","CT27.3","CT27.5","cluster"
"comp100000_c0_seq3",0.792042567735452,0.514976629210047,-0.975901992379039,-0.329414802486426,-1.29254877926522,-1.62238918227165,-0.672448821613119,-1.05506368910058,0.646912790412621,0.792042567735452,-0.237059489644625,0.541363861450561,-0.632867973252347,0.765655335494938,-0.672448821613119,0.119168145602325,-0.804384982815693,0.303878771285929,-0.184285025163595,3.1009253887805,0.778848951615195,-2.12374659484143,0.0136192166402656,0.171942610083355,0.237910690684641,0.963559577298798,-0.355802034726941,0.488589396969532,-0.936321144018267,0.528170245330304,1.13507658686214,1
"comp100000_c0_seq4",-0.220349149208267,-0.121510865238642,0.58133915410091,0.218932112878953,-0.670612442847668,-1.3295343359785,-1.92256403979625,-0.385079622490975,0.383662586161661,1.72347043552768,0.482500870131286,-0.0116905497168374,-0.967127294756542,0.13107586046151,-1.30757027287414,-0.385079622490975,-1.45033668305248,-0.472935874908419,0.427590712370384,0.515446964787827,1.48186574137971,-1.63703121943955,-0.670612442847668,0.185986018222412,1.05356651084467,0.460536807026925,0.229914144431134,-0.396061654043155,0.207950081326773,2.20667982382363,1.6575782462146,2
"comp100002_c0_seq5",-0.562078516626293,0.709124540396386,0.522920148945177,0.240032708086608,1.97316589005556,0.630345759397796,1.74041040074154,0.734190516168664,-0.340065588357544,1.06004820120828,-0.633695590261373,-0.622953029216112,0.941880029710397,-0.268448514722463,-1.410740839202,0.283002952267656,0.0144389261361045,-0.687408395487684,-1.13501510570694,-0.221897416859661,-2.77862694563203,-0.0929866843165158,0.354620025902737,-1.70437084110583,-0.934487299528711,-0.218316563177907,-0.340065588357544,0.995592834936708,0.136187951315741,0.884586370802332,0.730609662486909,3
"comp100004_c0_seq6",-0.0168449514297207,-0.747915843479593,-1.09604483969382,0.888290438727266,1.54973553153429,-0.539038445751058,0.366096944405928,0.54016144251304,-0.225722349158256,-0.678290044236748,-0.225722349158256,1.30604523418434,0.574974342134463,0.226845345920238,-2.03599312947223,0.992729137591532,1.34085813380576,-0.399786847265368,2.07192902585563,0.0875937474345477,-0.0516578510511425,-0.678290044236748,0.783851739862997,-1.47898673552947,-0.747915843479593,-1.20048353855809,-1.58342543439373,0.853477539105842,0.923103338348687,-0.956793241208128,0.157219546677393,4
"comp100008_c0_seq5",1.54516576992014,0.409562011304133,0.29786328094846,0.781891112489708,-0.260630370829903,-1.39623412944591,0.353712646126296,-1.86164550592788,0.670192382134035,0.651575927074756,0.874973387786102,0.242013915770624,-0.819124022608265,-0.428178466363411,-0.484027831541248,-1.35900121932735,-0.14893164047423,-0.651575927074757,-0.651575927074757,-0.744658202371151,0,1.7499467755722,-0.930822752963938,-1.45208349462374,1.93611132616499,1.97334423628355,-0.111698730355673,-0.223397460711345,-0.930822752963938,0.484027831541248,0.484027831541248,5
"comp100009_c0_seq4",-1.57032495010154,0.0454079379586816,0.363658355303876,0.68190877264907,0.00868673595731271,-0.933824115411148,1.01239959066139,0.118850341961418,-0.591092896731708,2.55469007471887,-1.11743012541799,0.143331143295665,-0.946064516078271,-0.00355366470980989,-0.272842479386513,1.26944800467097,0.841033981321667,-0.236121277385145,0.0943695406271731,0.486062361975104,0.841033981321667,2.17523765403806,0.216773547298401,-1.48464214543168,-0.72573730407006,-1.69272895677277,-1.09294932408375,0.131090742628542,-0.542131294063216,0.694149173316194,-0.468688890060479,6
"comp100010_c0_seq9",-0.451582536345502,-0.467595185618262,-0.535648945027493,0.305015141792415,1.04960333297576,1.20572666338517,1.06561598224852,0.573227017111148,-0.459588860981882,0.625268127247619,-0.891930391346407,-0.295459205936091,-0.659746976891384,-0.611709029073104,-1.85268934771202,-0.279446556663331,2.13045715888707,-0.855901930482696,-0.131329550890299,-0.575680568209393,-1.44836995357482,-0.783845008755276,-0.431566724754552,-1.55245217384776,0.353053089610696,0.252974031655945,0.112863350519293,1.74215041402264,1.01757803443024,-0.18337066102677,2.03438126325051,7
"comp100014_c0_seq3",-0.368500631242121,0.80217410139814,-1.06712910072099,-0.519555435453768,2.50154064877917,-0.198563976504019,0.89658335403042,1.1609292614008,-0.65172838913896,2.40713139614689,0.500064492974847,-0.292973229136298,-0.0475091722923723,-0.821665043877062,-1.84128497230568,0.12242748244573,-0.292973229136298,-2.21892198283479,0.726646699292317,0.783292250871684,-0.274091378609843,-0.085272873345284,0.292364137183832,-0.538437285980224,-0.746137641771238,-0.746137641771238,-0.462909883874401,-0.141918424924652,-0.0663910228188286,0.424537090869024,0.764410400345228,8
"comp100018_c0_seq3",-0.329122807216941,0.899308807679737,1.3087860126453,0.0121081969210247,-1.19357468436646,-1.83053922542399,0.0234825637256233,-0.533861409699722,1.34290911305909,1.53627334873727,0.2623442666222,0.182723698990007,-0.931964247860682,0.489831602714177,-0.784097479400897,0.95618064170273,-0.420117741653732,-1.48930822128603,0.580826537150968,-0.329122807216941,-0.363245907630738,1.05854994294412,-0.704476911768704,-2.20589332997576,-0.95471298146988,1.19504234459931,0.319216100645194,-0.852343680228489,0.86518570726594,1.2974116458407,0.592200903955567,5
"comp100019_c0_seq1",0.468941342225518,0.141697427217927,-0.34916844529346,0.00324807856086867,-1.20503714608255,-1.99797432475479,-0.739343882417896,-0.613480838184206,0.632563299729313,1.18636069435755,1.53877721821187,-0.399513662986935,-0.462445185103781,1.47584569609503,0.808771561656479,-1.12951931954233,-1.09176040627223,0.531872864342362,0.242387862604878,-0.0848560524027128,0.645149604152683,0.330491993568461,0.21721525375814,-1.7084893230173,0.129111122794558,0.745840039539633,-0.777102795688003,2.52050896323465,-0.68899866472442,-1.05400149300212,0.682908517422789,9
